tahun,periode_bulan,bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_jumlah_penduduk,satuan,persentase_jumlah_penduduk_miskin
2014,Maret,11,Aceh,1112,Kabupaten Aceh Barat Daya,24.97,Ribu Jiwa,17.99
2014,Maret,11,Aceh,1113,Kabupaten Gayo Lues,18.57,Ribu Jiwa,21.43
2014,Maret,11,Aceh,1114,Kabupaten Aceh Tamiang,39.91,Ribu Jiwa,14.58
2014,Maret,11,Aceh,1115,Kabupaten Nagan Raya,31.91,Ribu Jiwa,20.85
2014,Maret,11,Aceh,1116,Kabupaten Aceh Jaya,14.24,Ribu Jiwa,16.52
2014,Maret,11,Aceh,1117,Kabupaten Bener Meriah,30.25,Ribu Jiwa,22.45
2014,Maret,11,Aceh,1118,Kabupaten Pidie Jaya,31.87,Ribu Jiwa,21.78
2014,Maret,11,Aceh,1171,Kota Banda Aceh,19.42,Ribu Jiwa,7.78
2014,Maret,11,Aceh,1172,Kota Sabang,5.59,Ribu Jiwa,17.02
2014,Maret,11,Aceh,1173,Kota Langsa,19.76,Ribu Jiwa,12.08
2014,Maret,11,Aceh,1174,Kota Lhokseumawe,22.48,Ribu Jiwa,11.93
2014,Maret,11,Aceh,1175,Kota Subulussalam,14.61,Ribu Jiwa,19.72
2015,Maret,11,Aceh,1101,Kabupaten Simeulue,18.12,Ribu Jiwa,20.43
2015,Maret,11,Aceh,1102,Kabupaten Aceh Singkil,24.84,Ribu Jiwa,21.72
2015,Maret,11,Aceh,1103,Kabupaten Aceh Selatan,29.61,Ribu Jiwa,13.24
2015,Maret,11,Aceh,1104,Kabupaten Aceh Tenggara,30.14,Ribu Jiwa,14.91
2015,Maret,11,Aceh,1105,Kabupaten Aceh Timur,63.48,Ribu Jiwa,15.85
2015,Maret,11,Aceh,1106,Kabupaten Aceh Tengah,34.26,Ribu Jiwa,17.51
2015,Maret,11,Aceh,1107,Kabupaten Aceh Barat,41.36,Ribu Jiwa,21.46
2015,Maret,11,Aceh,1108,Kabupaten Aceh Besar,62.27,Ribu Jiwa,15.93
2015,Maret,11,Aceh,1109,Kabupaten Pidie,88.22,Ribu Jiwa,21.18
2015,Maret,11,Aceh,1110,Kabupaten Bireuen,73.14,Ribu Jiwa,16.94
2015,Maret,11,Aceh,1111,Kabupaten Aceh Utara,111.44,Ribu Jiwa,19.2
2015,Maret,11,Aceh,1112,Kabupaten Aceh Barat Daya,25.93,Ribu Jiwa,18.25
2015,Maret,11,Aceh,1113,Kabupaten Gayo Lues,19.32,Ribu Jiwa,21.95
2015,Maret,11,Aceh,1114,Kabupaten Aceh Tamiang,40.38,Ribu Jiwa,14.57
2015,Maret,11,Aceh,1115,Kabupaten Nagan Raya,31.32,Ribu Jiwa,20.13
2015,Maret,11,Aceh,1116,Kabupaten Aceh Jaya,13.85,Ribu Jiwa,15.93
2015,Maret,11,Aceh,1117,Kabupaten Bener Meriah,29.31,Ribu Jiwa,21.55
2015,Maret,11,Aceh,1118,Kabupaten Pidie Jaya,31.81,Ribu Jiwa,21.4
2015,Maret,11,Aceh,1171,Kota Banda Aceh,19.3,Ribu Jiwa,7.72
2015,Maret,11,Aceh,1172,Kota Sabang,5.86,Ribu Jiwa,17.69
2015,Maret,11,Aceh,1173,Kota Langsa,19.22,Ribu Jiwa,11.62
2015,Maret,11,Aceh,1174,Kota Lhokseumawe,23.15,Ribu Jiwa,12.16
2015,Maret,11,Aceh,1175,Kota Subulussalam,15.25,Ribu Jiwa,20.39
2016,Maret,11,Aceh,1101,Kabupaten Simeulue,17.93,Ribu Jiwa,19.93
2016,Maret,11,Aceh,1102,Kabupaten Aceh Singkil,25.09,Ribu Jiwa,21.6
2016,Maret,11,Aceh,1103,Kabupaten Aceh Selatan,30.68,Ribu Jiwa,13.48
2016,Maret,11,Aceh,1104,Kabupaten Aceh Tenggara,29.39,Ribu Jiwa,14.46
2016,Maret,11,Aceh,1105,Kabupaten Aceh Timur,61.63,Ribu Jiwa,15.06
2016,Maret,11,Aceh,1106,Kabupaten Aceh Tengah,33.16,Ribu Jiwa,16.64
2016,Maret,11,Aceh,1107,Kabupaten Aceh Barat,40.11,Ribu Jiwa,20.38
2016,Maret,11,Aceh,1108,Kabupaten Aceh Besar,62.03,Ribu Jiwa,15.55
2016,Maret,11,Aceh,1109,Kabupaten Pidie,90.16,Ribu Jiwa,21.25
2016,Maret,11,Aceh,1110,Kabupaten Bireuen,70.44,Ribu Jiwa,15.95
2016,Maret,11,Aceh,1111,Kabupaten Aceh Utara,115.05,Ribu Jiwa,19.46
2016,Maret,11,Aceh,1112,Kabupaten Aceh Barat Daya,25.73,Ribu Jiwa,18.03
2016,Maret,11,Aceh,1113,Kabupaten Gayo Lues,19.48,Ribu Jiwa,21.86
2016,Maret,11,Aceh,1114,Kabupaten Aceh Tamiang,40.88,Ribu Jiwa,14.51
2016,Maret,11,Aceh,1115,Kabupaten Nagan Raya,30.31,Ribu Jiwa,19.25
2016,Maret,11,Aceh,1116,Kabupaten Aceh Jaya,13.1,Ribu Jiwa,15.01
2016,Maret,11,Aceh,1117,Kabupaten Bener Meriah,29.82,Ribu Jiwa,21.43
2016,Maret,11,Aceh,1118,Kabupaten Pidie Jaya,31.94,Ribu Jiwa,21.18
2016,Maret,11,Aceh,1171,Kota Banda Aceh,18.8,Ribu Jiwa,7.41
2016,Maret,11,Aceh,1172,Kota Sabang,5.81,Ribu Jiwa,17.33
2016,Maret,11,Aceh,1173,Kota Langsa,18.63,Ribu Jiwa,11.09
2016,Maret,11,Aceh,1174,Kota Lhokseumawe,23.28,Ribu Jiwa,11.98
2016,Maret,11,Aceh,1175,Kota Subulussalam,14.99,Ribu Jiwa,19.57
2017,Maret,11,Aceh,1101,Kabupaten Simeulue,18.4,Ribu Jiwa,20.2
2017,Maret,11,Aceh,1102,Kabupaten Aceh Singkil,26.27,Ribu Jiwa,22.11
2017,Maret,11,Aceh,1103,Kabupaten Aceh Selatan,32.51,Ribu Jiwa,14.07
2017,Maret,11,Aceh,1104,Kabupaten Aceh Tenggara,30.84,Ribu Jiwa,14.86
2017,Maret,11,Aceh,1105,Kabupaten Aceh Timur,63.67,Ribu Jiwa,15.25
2017,Maret,11,Aceh,1106,Kabupaten Aceh Tengah,34.24,Ribu Jiwa,16.84
2017,Maret,11,Aceh,1107,Kabupaten Aceh Barat,40.72,Ribu Jiwa,20.28
2017,Maret,11,Aceh,1108,Kabupaten Aceh Besar,62.72,Ribu Jiwa,15.41
2017,Maret,11,Aceh,1109,Kabupaten Pidie,92.35,Ribu Jiwa,21.43
2017,Maret,11,Aceh,1110,Kabupaten Bireuen,71.54,Ribu Jiwa,15.87
2017,Maret,11,Aceh,1111,Kabupaten Aceh Utara,118.74,Ribu Jiwa,19.78
2017,Maret,11,Aceh,1112,Kabupaten Aceh Barat Daya,26.57,Ribu Jiwa,18.31
